x,y,z
0,85,0
0,85,1
0,85,2
0,85,3
0,85,4
0,85,5
0,86,0
0,86,1
0,86,2
0,86,3
0,86,4
0,86,5
0,87,0
0,87,1
0,87,2
0,87,3
0,87,4
0,87,5
0,88,0
0,88,1
0,88,2
0,88,3
0,88,4
0,88,5
0,89,0
0,89,1
0,89,2
0,89,3
0,89,4
0,89,5
0,90,0
0,90,1
0,90,2
0,90,3
0,90,4
0,90,5
0,91,0
0,91,1
0,91,2
0,91,3
0,91,4
0,91,5
0,92,0
0,92,5
1,85,0
1,85,1
1,85,2
1,85,3
1,85,4
1,85,5
1,86,0
1,86,1
1,86,2
1,86,3
1,86,4
1,86,5
1,87,0
1,87,1
1,87,2
1,87,3
1,87,4
1,87,5
1,88,0
1,88,1
1,88,2
1,88,3
1,88,4
1,88,5
1,89,0
1,89,1
1,89,2
1,89,3
1,89,4
1,89,5
1,90,0
1,90,1
1,90,2
1,90,3
1,90,4
1,90,5
1,91,0
1,91,1
1,91,2
1,91,3
1,91,4
1,91,5
1,92,0
1,92,1
1,92,2
1,92,3
1,92,4
1,92,5
1,93,0
1,93,1
1,93,2
1,93,3
1,93,4
1,93,5
1,94,0
1,94,1
1,94,2
1,94,3
1,94,4
1,94,5
1,95,0
1,95,1
1,95,2
1,95,3
1,95,4
1,95,5
1,96,0
1,96,1
1,96,2
1,96,3
1,96,4
1,96,5
1,97,0
1,97,1
1,97,2
1,97,3
1,97,4
1,97,5
1,98,0
1,98,1
1,98,2
1,98,3
1,98,4
1,98,5
1,99,0
1,99,1
1,99,2
1,99,3
1,99,4
1,99,5
1,100,0
1,100,1
1,100,2
1,100,3
1,100,4
1,100,5
1,101,0
1,101,1
1,101,2
1,101,3
1,101,4
1,101,5
1,102,0
1,102,1
1,102,2
1,102,3
1,102,4
1,102,5
1,103,0
1,103,1
1,103,2
1,103,3
1,103,4
1,103,5
1,104,0
1,104,1
1,104,2
1,104,3
1,104,4
1,104,5
1,105,0
1,105,1
1,105,2
1,105,3
1,105,4
1,105,5
1,106,0
1,106,1
1,106,2
1,106,3
1,106,4
1,106,5
1,107,0
1,107,1
1,107,2
1,107,3
1,107,4
1,107,5
1,108,0
1,108,1
1,108,2
1,108,3
1,108,4
1,108,5
1,109,0
1,109,1
1,109,2
1,109,3
1,109,4
1,109,5
1,110,0
1,110,1
1,110,2
1,110,3
1,110,4
1,110,5
1,111,0
1,111,1
1,111,2
1,111,3
1,111,4
1,111,5
1,112,0
1,112,1
1,112,2
1,112,3
1,112,4
1,112,5
2,85,0
2,85,1
2,85,2
2,85,3
2,85,4
2,85,5
2,86,0
2,86,1
2,86,2
2,86,3
2,86,4
2,86,5
2,87,0
2,87,1
2,87,2
2,87,3
2,87,4
2,87,5
2,88,0
2,88,5
2,89,0
2,89,5
2,90,0
2,90,1
2,90,2
2,90,3
2,90,4
2,90,5
2,91,0
2,91,1
2,91,2
2,91,3
2,91,4
2,91,5
2,92,0
2,92,1
2,92,2
2,92,3
2,92,4
2,92,5
2,93,0
2,93,1
2,93,2
2,93,3
2,93,4
2,93,5
2,94,0
2,94,1
2,94,2
2,94,3
2,94,4
2,94,5
2,95,0
2,95,1
2,95,2
2,95,3
2,95,4
2,95,5
2,96,0
2,96,1
2,96,2
2,96,3
2,96,4
2,96,5
2,97,0
2,97,1
2,97,2
2,97,3
2,97,4
2,97,5
2,98,0
2,98,1
2,98,2
2,98,3
2,98,4
2,98,5
2,99,0
2,99,1
2,99,2
2,99,3
2,99,4
2,99,5
2,100,0
2,100,1
2,100,2
2,100,3
2,100,4
2,100,5
2,101,0
2,101,1
2,101,2
2,101,3
2,101,4
2,101,5
2,102,0
2,102,1
2,102,2
2,102,3
2,102,4
2,102,5
2,103,0
2,103,1
2,103,2
2,103,3
2,103,4
2,103,5
2,104,0
2,104,1
2,104,2
2,104,3
2,104,4
2,104,5
2,105,0
2,105,1
2,105,2
2,105,3
2,105,4
2,105,5
2,106,0
2,106,1
2,106,2
2,106,3
2,106,4
2,106,5
2,107,0
2,107,1
2,107,2
2,107,3
2,107,4
2,107,5
2,108,0
2,108,1
2,108,2
2,108,3
2,108,4
2,108,5
2,109,0
2,109,1
2,109,2
2,109,3
2,109,4
2,109,5
2,110,0
2,110,1
2,110,2
2,110,3
2,110,4
2,110,5
2,111,0
2,111,1
2,111,2
2,111,3
2,111,4
2,111,5
2,112,0
2,112,1
2,112,2
2,112,3
2,112,4
2,112,5
3,85,0
3,85,1
3,85,2
3,85,3
3,85,4
3,85,5
3,86,0
3,86,1
3,86,2
3,86,3
3,86,4
3,86,5
3,87,0
3,87,5
3,88,0
3,88,5
3,89,0
3,89,5
3,90,0
3,90,5
3,91,0
3,91,1
3,91,2
3,91,3
3,91,4
3,91,5
3,92,0
3,92,1
3,92,2
3,92,3
3,92,4
3,92,5
3,93,0
3,93,1
3,93,2
3,93,3
3,93,4
3,93,5
3,94,0
3,94,1
3,94,2
3,94,3
3,94,4
3,94,5
3,95,0
3,95,1
3,95,2
3,95,3
3,95,4
3,95,5
3,96,0
3,96,1
3,96,2
3,96,3
3,96,4
3,96,5
3,97,0
3,97,1
3,97,2
3,97,3
3,97,4
3,97,5
3,98,0
3,98,1
3,98,2
3,98,3
3,98,4
3,98,5
3,99,0
3,99,1
3,99,2
3,99,3
3,99,4
3,99,5
3,100,0
3,100,1
3,100,2
3,100,3
3,100,4
3,100,5
3,101,0
3,101,1
3,101,2
3,101,3
3,101,4
3,101,5
3,102,0
3,102,1
3,102,2
3,102,3
3,102,4
3,102,5
3,103,0
3,103,1
3,103,2
3,103,3
3,103,4
3,103,5
3,104,0
3,104,1
3,104,2
3,104,3
3,104,4
3,104,5
3,105,0
3,105,1
3,105,2
3,105,3
3,105,4
3,105,5
3,106,0
3,106,1
3,106,2
3,106,3
3,106,4
3,106,5
3,107,0
3,107,1
3,107,2
3,107,3
3,107,4
3,107,5
3,108,0
3,108,1
3,108,2
3,108,3
3,108,4
3,108,5
3,109,0
3,109,1
3,109,2
3,109,3
3,109,4
3,109,5
3,110,0
3,110,1
3,110,2
3,110,3
3,110,4
3,110,5
3,111,0
3,111,1
3,111,2
3,111,3
3,111,4
3,111,5
3,112,0
3,112,1
3,112,2
3,112,3
3,112,4
3,112,5
4,85,0
4,85,1
4,85,2
4,85,3
4,85,4
4,85,5
4,86,0
4,86,1
4,86,2
4,86,3
4,86,4
4,86,5
4,87,0
4,87,5
4,88,0
4,88,5
4,89,0
4,89,5
4,90,0
4,90,5
4,91,0
4,91,1
4,91,2
4,91,3
4,91,4
4,91,5
4,92,0
4,92,1
4,92,2
4,92,3
4,92,4
4,92,5
4,93,0
4,93,1
4,93,2
4,93,3
4,93,4
4,93,5
4,94,0
4,94,1
4,94,2
4,94,3
4,94,4
4,94,5
4,95,0
4,95,1
4,95,2
4,95,3
4,95,4
4,95,5
4,96,0
4,96,1
4,96,2
4,96,3
4,96,4
4,96,5
4,97,0
4,97,1
4,97,2
4,97,3
4,97,4
4,97,5
4,98,0
4,98,1
4,98,2
4,98,3
4,98,4
4,98,5
4,99,0
4,99,1
4,99,2
4,99,3
4,99,4
4,99,5
4,100,0
4,100,1
4,100,2
4,100,3
4,100,4
4,100,5
4,101,0
4,101,1
4,101,2
4,101,3
4,101,4
4,101,5
4,102,0
4,102,1
4,102,2
4,102,3
4,102,4
4,102,5
4,103,0
4,103,1
4,103,2
4,103,3
4,103,4
4,103,5
4,104,0
4,104,1
4,104,2
4,104,3
4,104,4
4,104,5
4,105,0
4,105,1
4,105,2
4,105,3
4,105,4
4,105,5
4,106,0
4,106,1
4,106,2
4,106,3
4,106,4
4,106,5
4,107,0
4,107,1
4,107,2
4,107,3
4,107,4
4,107,5
4,108,0
4,108,1
4,108,2
4,108,3
4,108,4
4,108,5
4,109,0
4,109,1
4,109,2
4,109,3
4,109,4
4,109,5
4,110,0
4,110,1
4,110,2
4,110,3
4,110,4
4,110,5
4,111,0
4,111,1
4,111,2
4,111,3
4,111,4
4,111,5
4,112,0
4,112,1
4,112,2
4,112,3
4,112,4
4,112,5
5,85,0
